chien,m
chat,m
cheval,m
vache,f
mouton,m
chevre,f
cochon,m
lapin,m
poule,f
coq,m
dinde,f
canard,m
oie,f
ane,m
anesse,f
lion,m
lionne,f
tigre,m
tigresse,f
elephant,m
elephante,f
girafe,f
zebre,m
rhinoceros,m
singe,m
gorille,m
chimpanze,m
ours,m
ourse,f
loup,m
louve,f
renard,m
renarde,f
ecureuil,m
castor,m
raton,m
blaireau,m
herisson,m
hibou,m
chouette,f
corbeau,m
pie,f
moineau,m
hirondelle,f
alouette,f
canari,m
perroquet,m
paon,m
cygne,m
pingouin,m
manchot,m
otarie,f
phoque,m
requin,m
dauphin,m
baleine,f
orque,f
meduse,f
pieuvre,f
calamar,m
crabe,m
homard,m
langouste,f
crevette,f
moule,f
huitre,f
escargot,m
limace,f
papillon,m
abeille,f
guepe,f
fourmi,f
moustique,m
mouche,f
coccinelle,f
scarabee,m
libellule,f
chenille,f
serpent,m
vipere,f
crocodile,m
alligator,m
tortue,f
lezard,m
cameleon,m
iguane,m
grenouille,f
crapaud,m
triton,m
salamandre,f
poisson,m
saumon,m
truite,f
carpe,f
brochet,m
anguille,f
dorade,f
thon,m
maquereau,m
sardine,f
anchois,m
hareng,m
morue,f
cabillaud,m
raie,f
sole,f
merlan,m
rouget,m
panthere,f
chameau,m
dromadaire,m
lama,m
alpaga,m
bison,m
cerf,m
biche,f
faon,m
sanglier,m
heron,m
flamant,m
pelican,m
cigogne,f
autruche,f
emeu,m
kiwi,m
lionceau,m
ourson,m
chaton,m
chiot,m
poulain,m
veau,m
agneau,m
chevreau,m
porcelet,m
lapereau,m
caneton,m
oisillon,m
singeau,m
gorillon,m
oursonne,f
louveteau,m
renardeau,m
baleineau,m
moucheron,m
souris,f
hamster,m
pigeon,m
faisan,m
caille,f
faucon,m
aigle,m
vautour,m
python,m
boa,m
gazelle,f
porc,m
buffle,m
antilope,f
belier,m
bouc,m
brebis,f
taureau,m
poussin,m
colibri,m
perruche,f
furet,m
condor,m
scorpion,m
araignee,f
tetard,m
dinosaure,m
leopard,m
guepard,m
jaguar,m
marmotte,f
koala,m
panda,m
renne,m
caribou,m
etalon,m
jument,f
grizzly,m
gecko,m
hanneton,m
cigale,f
phacochere,m
sauterelle,f
tatou,m
mesange,f
tique,f
ouistiti,m
bonobo,m
macaque,m
epervier,m
etourneau,m
cousin,m
cousine,f
homme,m
femme,f
prince,m
princesse,f
roi,m
reine,f
heros,m
heroine,f
ami,m
amie,f
voisin,m
voisine,f
collegue,m
partenaire,m
adversaire,m
allie,m
alliee,f
concurrent,m
mentor,m
mentore,f
eleve,m
apprenti,m
apprentie,f
maitre,m
maitresse,f
chef,m
cheffe,f
leader,m
capitaine,m
commandant,m
aventurier,m
voyageur,m
voyageuse,f
pelerin,m
pelerine,f
marchand,m
marchande,f
artiste,m
peintre,m
sculpteur,m
sculptrice,f
poete,m
poetesse,f
musicien,m
musicienne,f
chanteur,m
chanteuse,f
acteur,m
actrice,f
joueur,m
joueuse,f
coureur,m
coureuse,f
nageur,m
nageuse,f
boxeur,m
boxeuse,f
combattant,m
soldat,m
soldate,f
guerrier,m
guerriere,f
chevalier,m
dame,f
magicien,m
magicienne,f
sorcier,m
sorciere,f
alchimiste,m
erudit,m
erudite,f
sage,m
philosophe,m
inventeur,m
inventrice,f
createur,m
creatrice,f
dragon,m
dragonne,f
licorne,f
griffon,m
phenix,m
sirene,f
centaure,m
nymphe,f
satyr,m
harpie,f
chimere,f
hydre,f
minotaure,m
sphinx,m
goule,f
zombie,m
vampire,m
vampiresse,f
ogre,m
ogresse,f
troll,m
gobelin,m
elfe,m
elfette,f
demon,m
demone,f
ange,m
archange,m
valkyrie,f
fantome,m
spectre,m
esprit,m
ombre,f
lutin,m
farfadet,m
pixie,f
fee,f
geant,m
geante,f
gnome,m
nain,m
naine,f
orc,m
hobbit,m
basilic,m
manticore,f
leviathan,m
kraken,m
yeti,m
djinn,m
genie,m
godzilla,m
cerbere,m
medecin,m
infirmiere,f
enseignant,m
avocat,m
avocate,f
pompier,m
pompiere,f
architecte,m
plombier,m
menuisier,m
menuisiere,f
boulanger,m
boulangere,f
boucher,m
bouchere,f
pharmacien,m
pilote,m
chauffeur,m
chauffeuse,f
coiffeur,m
coiffeuse,f
serveur,m
serveuse,f
cuisinier,m
cuisiniere,f
macon,m
maconne,f
ecrivain,m
ecrivaine,f
chercheur,m
chercheuse,f
professeur,m
directeur,m
directrice,f
manager,m
manageuse,f
artisan,m
artisane,f
commercant,m
vendeur,m
vendeuse,f
caissier,m
caissiere,f
banquier,m
banquiere,f
notaire,m
juge,m
aviateur,m
aviatrice,f
marin,m
policier,m
policiere,f
gendarme,m
militaire,m
traducteur,m
interprete,m
analyste,m
physicien,m
chimiste,m
biologiste,m
astronome,m
historien,m
psychiatre,m
sociologue,m
economiste,m
rose,f
tulipe,f
marguerite,f
orchidee,f
lys,m
lavande,f
jasmin,m
chene,m
sapin,m
erable,m
bouleau,m
peuplier,m
saule,m
pin,m
cypres,m
bambou,m
cactus,m
ficus,m
lierre,m
vigne,f
fougere,f
mousse,f
lilas,m
hortensia,m
hibiscus,m
magnolia,m
sequoia,m
baobab,m
acacia,m
mimosa,m
thym,m
romarin,m
menthe,f
persil,m
coriandre,f
estragon,m
verveine,f
camomille,f
pissenlit,m
coquelicot,m
nenuphar,m
lotus,m
palmier,m
papyrus,m
agave,m
